id,member_key,date_of_birth,first_name,last_name,price_zone_code,u_disabilities,u_gender,SA1,SA2,SA3,SA4
3830,f1b2c200-e52b-11ea-aa27-0bababe260e0,2011-10-19,Allyce,Ivins,ACT_NSW_QLD_VIC,"Perthes disease, Intellectual disability, Non verbal, Microcephaly, Epilepsy",Male,3124802,31248,30906,309
5545,6bd19f10-39f6-11eb-a6f1-8990b6036c5e,1971-03-31,Alvinia,Santhouse,ACT_NSW_QLD_VIC,"Posttraumatic stress disorder, Depression, Bipolar disorder",Male,3124802,31248,30906,309
4391,e99f9f70-edb4-11ea-95f9-378584bd80a7,2003-11-01,Alvy,Deroche,ACT_NSW_QLD_VIC,"Intellectual disability, Oppositional defiance disorder , ADHD",Male,0,0,0,0
2022,a6c2eb80-d220-11ea-b70a-d17e589b1829,1965-01-05,Amii,Izon,NT_SA_TAS_WA,"Intellectual impairment",Female,3124802,31248,30906,309
4215,9cff1c60-e786-11ea-973c-bf41324305ed,1962-09-05,Anallise,Harrinson,ACT_NSW_QLD_VIC,,,0,0,0,0
1500,1d3e46f0-c7ff-11ea-8f44-bd7514ab32db,2017-02-04,Andriana,McGriele,ACT_NSW_QLD_VIC,"Develpmental Delay ",Male,3124802,31248,30906,309
1704,63321040-d20b-11ea-ae84-0545f282cdcb,1999-11-14,Angeli,Butcher,NT_SA_TAS_WA,,Female,0,0,0,0
4430,4b3aff50-f165-11ea-a991-53506b6cb9f3,1960-03-19,Angelle,Burdis,ACT_NSW_QLD_VIC,,Male,0,0,0,0
1866,b00a9b20-d216-11ea-bb54-b308798eda15,1956-09-21,Anjela,Nezey,ACT_NSW_QLD_VIC,"Vision Impaired",Female,3124802,31248,30906,309
589,bb895b30-c7e9-11ea-80e0-3df355beb07c,2009-04-03,Annabal,Arnholz,ACT_NSW_QLD_VIC,,Male,0,0,0,0
720,bdf8fba0-c7e9-11ea-80e0-3df355beb07c,1983-10-11,Annabal,Richardon,NT_SA_TAS_WA,,Female,3128618,31286,31003,310
1967,615bd660-d21b-11ea-b617-61a96cd5c136,1964-05-06,Annamarie,Hicken,ACT_NSW_QLD_VIC,,Female,3139425,31394,31403,314
4169,767c5a80-e781-11ea-81ad-09a1d4aac9cd,1961-06-23,Anne-corinne,Braden,ACT_NSW_QLD_VIC,"Multiple Sclerosis",Female,3107206,31072,30305,303
5122,215f5e90-1d8b-11eb-961f-35ca222d8f37,2017-11-02,Antoinette,Baptist,ACT_NSW_QLD_VIC,,Male,0,0,0,0
4450,48f14aa0-f25b-11ea-af30-8d20b6b7a6ae,2019-01-30,Antonia,Stoyles,ACT_NSW_QLD_VIC,,Male,0,0,0,0
5618,15551f10-3f6c-11eb-af63-f955e2163e62,2013-04-10,Antonio,Haburne,ACT_NSW_QLD_VIC,,Female,0,0,0,0
6144,e4221bb0-702a-11eb-9523-0b164258eb91,1961-11-28,Arabela,Grece,ACT_NSW_QLD_VIC,,Female,3103116,31031,30202,302
1982,61a75e50-d21b-11ea-b617-61a96cd5c136,1963-04-23,Archaimbaud,Mulvenna,ACT_NSW_QLD_VIC,,,3124802,31248,30906,309
6203,47e047b0-75a0-11eb-abca-2f40d22c2fc1,1958-06-26,Ardella,Bellhouse,ACT_NSW_QLD_VIC,,Male,0,0,0,0
1889,b0796280-d216-11ea-bb54-b308798eda15,1978-06-29,Arlen,Bowler,ACT_NSW_QLD_VIC,,Female,3132118,31321,31104,311
4174,9c2c14f0-e786-11ea-973c-bf41324305ed,1982-02-02,Arleyne,Howitt,ACT_NSW_QLD_VIC,,Female,1104019,11040,10201,102
3871,f28bbce0-e52b-11ea-aa27-0bababe260e0,2003-09-08,Arlinda,Tombs,ACT_NSW_QLD_VIC,,Female,3124802,31248,30906,309
4666,c225f450-0090-11eb-8027-fd79b0c7803d,2000-03-07,Arni,Tocher,ACT_NSW_QLD_VIC,,Female,3124802,31248,30906,309
5168,e0874e90-1e21-11eb-931b-3f565ba74e99,1958-07-25,Arnie,Wolsey,ACT_NSW_QLD_VIC,,Female,0,0,0,0
4746,c82f7570-02e2-11eb-aeeb-8b60fd655d8f,1970-02-23,Arnoldo,Atchly,ACT_NSW_QLD_VIC,,Female,0,0,0,0
3964,053e1890-e588-11ea-b453-3de7750d4ba6,1957-12-26,Artair,Kenningham,ACT_NSW_QLD_VIC,,Male,0,0,0,0
3392,d6643f90-dcef-11ea-a5ac-61abce895864,2016-04-20,Ashlan,Cheer,ACT_NSW_QLD_VIC,,Female,0,0,0,0
5692,37fdcf80-4e21-11eb-bcfc-6ba43ac4d355,2014-10-19,Athene,Crosetto,ACT_NSW_QLD_VIC,,Female,3105621,31056,30302,303
483,a6bc9f10-c26b-11ea-86a3-73cae5fb33df,2006-03-15,Auberta,Ottley,ACT_NSW_QLD_VIC,"Cerebral palsy",Female,3124802,31248,30906,309
1105,f3d45260-c7f3-11ea-baa6-ebfe92aca975,1961-03-29,Audrey,Jenne,ACT_NSW_QLD_VIC,,Male,3124802,31248,30906,309
6093,bf89fd90-6cc9-11eb-8f9e-59ca101c3f75,1956-11-25,Augustine,Huchot,ACT_NSW_QLD_VIC,,Female,0,0,0,0
2864,c42bf4c0-d6d3-11ea-9cd1-f194648955a5,2001-03-15,Avery,Gillan,ACT_NSW_QLD_VIC,,Male,3113010,31130,30503,305
4529,07441130-f951-11ea-a542-6bd0e4934c0a,2019-06-14,Bab,Blase,ACT_NSW_QLD_VIC,,Female,3124802,31248,30906,309
4979,d086e3e0-14fb-11eb-aca4-d5fb3af39f43,2000-06-16,Babbie,Ledward,ACT_NSW_QLD_VIC,,,3131706,31317,31103,311
3713,ad9b1200-e33e-11ea-8b21-dde9a075c3ef,2016-02-21,Barbie,Borthwick,ACT_NSW_QLD_VIC,,Male,3124802,31248,30906,309
2324,fb7ba7f0-d23b-11ea-a13a-d188ddbdc773,2017-06-03,Barry,Ellicock,ACT_NSW_QLD_VIC,,Male,3124802,31248,30906,309
5922,d6fc6cd0-6105-11eb-93e8-37e07c58a1af,2000-05-12,Bart,Esterbrook,ACT_NSW_QLD_VIC,,Female,3124802,31248,30906,309
3168,5db12260-dce6-11ea-812e-09cdf4382371,1994-07-21,Bart,Yukhov,NT_SA_TAS_WA,,,3124802,31248,30906,309
3224,d2f90110-dcef-11ea-a5ac-61abce895864,2005-06-01,Basilio,Cutchee,ACT_NSW_QLD_VIC,"Intellectual disability",Male,0,0,0,0
6122,cd0663f0-6f35-11eb-9801-59632b213a93,2008-06-28,Beatrisa,Bramich,ACT_NSW_QLD_VIC,,Female,3124802,31248,30906,309
5744,27585520-5186-11eb-a0d5-a3333da6d37f,1960-12-31,Becky,Brompton,ACT_NSW_QLD_VIC,,Female,3144422,31444,31606,316
6507,739c5530-8cfa-11eb-9e79-77be9e9c0ac1,2007-02-10,Bekki,Springall,ACT_NSW_QLD_VIC,,Female,3106605,31066,30303,303
4042,34fc6c70-e741-11ea-804b-97facb641bb5,1961-01-03,Belle,Calabry,ACT_NSW_QLD_VIC,,Male,3110120,31101,30404,304
4005,06184bf0-e588-11ea-b453-3de7750d4ba6,1970-09-17,Benedikt,Hadgraft,VeryRemote,,Male,2128719,21287,21201,212
5119,974e30d0-1d82-11eb-a5b7-9dd816036e31,2017-06-22,Benjamin,Hegdonne,ACT_NSW_QLD_VIC,,Male,3137502,31375,31304,313
616,bc080110-c7e9-11ea-80e0-3df355beb07c,2007-05-30,Bentley,Mitchely,ACT_NSW_QLD_VIC,,Male,3124802,31248,30906,309
2270,b0272b60-d238-11ea-aed8-25028c760942,1970-05-31,Berke,Cushe,ACT_NSW_QLD_VIC,,Female,3132302,31323,31105,311
6284,d3223bc0-7b23-11eb-bb56-f1d353c5d8e1,1966-05-01,Bernardine,Kynoch,ACT_NSW_QLD_VIC,,Female,3129337,31293,31003,310
4335,44a0b390-e8f7-11ea-95c6-1ddffa748b78,2018-03-02,Bernardo,Boerder,ACT_NSW_QLD_VIC,,Male,3105406,31054,30302,303
6114,d490bea0-6d27-11eb-8ddf-917150a53fe7,1988-03-25,Bertine,Lerhinan,ACT_NSW_QLD_VIC,,Male,3153606,31536,30805,308
5574,0010f240-3b5d-11eb-aa73-7be7bbd3c758,2004-06-28,Beryl,McDuff,ACT_NSW_QLD_VIC,"Asperger syndrome",Female,3138648,31386,31401,314
2460,fc1c3e30-d2be-11ea-9111-4909e54dcef4,2011-11-17,Beryle,Tanzer,ACT_NSW_QLD_VIC,"Speech delay, Intellectual disability",Male,3142410,31424,31602,316
1821,af31a040-d216-11ea-bb54-b308798eda15,1962-03-16,Bethanne,Parmer,ACT_NSW_QLD_VIC,,Female,3124802,31248,30906,309
5339,58026c60-296d-11eb-90e9-25c6b42868ec,1981-03-26,Betteanne,Raden,NT_SA_TAS_WA,,Male,3106810,31068,30304,303
6430,edb1a590-8620-11eb-b6c2-f7ca186359f3,1977-12-12,Bettina,Britten,ACT_NSW_QLD_VIC,"Schizophrenia, Bipolar disorder",Male,3147703,31477,31802,318
4890,4b6b4070-0e98-11eb-a0b3-33a58f98b378,1998-08-26,Bettye,Figures,ACT_NSW_QLD_VIC,,Female,3124802,31248,30906,309
5147,e01a8300-1e21-11eb-931b-3f565ba74e99,1988-09-12,Bev,Briscow,ACT_NSW_QLD_VIC,,Female,3110120,31101,30404,304
1662,e86f21b0-d208-11ea-a272-f7bc49fb354a,2012-04-25,Biddy,Jerrams,ACT_NSW_QLD_VIC,,,3132602,31326,31105,311
2178,ae0bec80-d238-11ea-aed8-25028c760942,1975-03-19,Billye,Blyden,ACT_NSW_QLD_VIC,,Female,3124802,31248,30906,309
5668,b841a7a0-44d7-11eb-8f90-b1b6463f704d,1973-01-24,Bink,Rosengart,ACT_NSW_QLD_VIC,,Male,2142316,21423,21701,217
1311,f8175340-c7f3-11ea-baa6-ebfe92aca975,1957-08-15,Birgit,Hodgins,ACT_NSW_QLD_VIC,"Parkinson's disease, Bipolar disorder",Male,3105917,31059,30302,303
4796,7b83c480-0849-11eb-a40b-a5facbf1d409,2012-05-03,Birgitta,McKennan,ACT_NSW_QLD_VIC,,Female,3124802,31248,30906,309
4092,529aa820-e762-11ea-87b5-2d26e519b5b2,1990-01-27,Blaire,Ragbourne,ACT_NSW_QLD_VIC,,,3124802,31248,30906,309
4387,4e5aa110-ed8f-11ea-850c-d1872c338394,1957-12-15,Blanca,Darleston,ACT_NSW_QLD_VIC,,Female,0,0,0,0
6146,075efe30-702c-11eb-9523-0b164258eb91,1983-10-05,Blinnie,Clyde,ACT_NSW_QLD_VIC,,Male,3124802,31248,30906,309
3289,d44e09c0-dcef-11ea-a5ac-61abce895864,2015-02-18,Bobina,Milazzo,ACT_NSW_QLD_VIC,"Intellectual disability",Male,3124802,31248,30906,309
3831,f1b84040-e52b-11ea-aa27-0bababe260e0,1970-07-09,Boigie,Makey,ACT_NSW_QLD_VIC,"Hearing Impairment",Female,2137907,21379,21402,214
3748,eff3fb00-e52b-11ea-aa27-0bababe260e0,1957-05-12,Boony,Yosselevitch,ACT_NSW_QLD_VIC,,Male,0,0,0,0
3583,df0e2020-ddb7-11ea-a31a-7d25e47a5c0a,1962-05-22,Boyce,Ianni,ACT_NSW_QLD_VIC,"Vision Impaired, Dementia, Meningitis",Male,3124802,31248,30906,309
3614,dfb50e80-ddb7-11ea-a31a-7d25e47a5c0a,1981-04-13,Boycey,Cosham,NT_SA_TAS_WA,"AbI , Physical, left hand and fingers still no",Female,3124802,31248,30906,309
5271,cda0bca0-23dd-11eb-b960-316d02ace69b,2012-11-29,Brandie,Posselt,ACT_NSW_QLD_VIC,,Male,0,0,0,0
4899,b24129a0-0eb0-11eb-af8f-7b80bc2d5343,1978-12-09,Brendis,Whitrod,ACT_NSW_QLD_VIC,,Female,3102006,31020,30103,301
5748,948ead20-53b0-11eb-b64d-fd22ac1d9e3e,1957-02-07,Brenna,Hargreves,ACT_NSW_QLD_VIC,,Female,1143710,11437,12302,123
5251,61e257f0-230e-11eb-8e38-eb0fe75435e8,2014-08-16,Bret,Dowyer,ACT_NSW_QLD_VIC,,Female,3130011,31300,31004,310
2883,fe6355d0-d6e1-11ea-a500-7f405e927aa3,1998-05-25,Britni,Bundey,ACT_NSW_QLD_VIC,,Male,3103514,31035,30203,302
4523,cbc80920-f8a8-11ea-ad24-4590fac688b2,2016-05-20,Brose,Birnie,ACT_NSW_QLD_VIC,,Female,3124802,31248,30906,309
6273,671f6f40-7afd-11eb-96ab-8f6fdfe8bba6,2016-11-30,Bryan,Slobom,ACT_NSW_QLD_VIC,,Female,2134812,21348,21303,213
6148,75cc8ab0-70b6-11eb-ad13-9558bc5f84e9,1967-10-31,Burch,Clelle,ACT_NSW_QLD_VIC,"Intellectual disability",,0,0,0,0
4209,9ce37e10-e786-11ea-973c-bf41324305ed,2008-12-31,Byram,Vassie,ACT_NSW_QLD_VIC,,Male,0,0,0,0
185,dadcf9e0-c179-11ea-8a11-397bdc21f5a9,1970-01-01,Calida,Celle,ACT_NSW_QLD_VIC,,Female,3124802,31248,30906,309
5519,1598b290-382b-11eb-9a4d-4100b925c16b,2015-04-22,Callida,Hubberstey,ACT_NSW_QLD_VIC,,Male,2131910,21319,21205,212
4738,bd8eb460-02be-11eb-8b6e-357c417d6021,1963-04-29,Camel,Vollam,ACT_NSW_QLD_VIC,,Male,0,0,0,0
4902,28b5ef90-0eba-11eb-9d1e-efa7a9d763fe,1993-03-25,Caril,Hodgen,ACT_NSW_QLD_VIC,,Male,3124802,31248,30906,309
1687,e9008c40-d208-11ea-a272-f7bc49fb354a,1986-07-18,Caril,Reuss,ACT_NSW_QLD_VIC,"Vision Impaired",Male,3109305,31093,30403,304
4840,8bb1b990-09f5-11eb-b7e6-5f90c3a4b38d,2008-08-26,Carissa,Singh,ACT_NSW_QLD_VIC,,Male,3110120,31101,30404,304
5118,bc8783c0-1d7c-11eb-8266-57b066f2656f,1995-07-28,Carlee,Pidgeley,ACT_NSW_QLD_VIC,,Male,0,0,0,0
4944,8de6e120-134d-11eb-b080-c9ba7fe40716,1970-02-27,Carlyle,Filyaev,NT_SA_TAS_WA,,Male,0,0,0,0
4263,622f6c50-e80f-11ea-983f-69a06f97de2b,2011-12-10,Carlyle,Syer,ACT_NSW_QLD_VIC,,Male,3113708,31137,30504,305
1902,600df9a0-d21b-11ea-b617-61a96cd5c136,1961-10-31,Carmela,Carrodus,ACT_NSW_QLD_VIC,,Male,3130901,31309,31102,311
3941,04c1bca0-e588-11ea-b453-3de7750d4ba6,1977-05-09,Carol,Goodby,ACT_NSW_QLD_VIC,"Stroke (brain stem), Acquired Brain Injury",Male,3124802,31248,30906,309
1287,f79997c0-c7f3-11ea-baa6-ebfe92aca975,2007-12-30,Caron,Maes,NT_SA_TAS_WA,"Cerebral palsy",Male,0,0,0,0
2426,83376970-d243-11ea-9818-790e5fd47e9b,1965-09-19,Carr,Petofi,ACT_NSW_QLD_VIC,,Female,3107617,31076,30305,303
2849,c3e1f370-d6d3-11ea-9cd1-f194648955a5,1999-08-28,Carree,Cudiff,ACT_NSW_QLD_VIC,,Female,3124802,31248,30906,309
5361,6f205fb0-2ab2-11eb-b575-553103f5167c,2014-03-03,Carrissa,Burnel,ACT_NSW_QLD_VIC,,Male,3139302,31393,31403,314
5544,a14bc400-39f5-11eb-a6f1-8990b6036c5e,1959-05-15,Case,Pughsley,ACT_NSW_QLD_VIC,,Female,3124802,31248,30906,309
4685,c2894a00-0090-11eb-8027-fd79b0c7803d,1979-07-04,Cassy,Maeer,NT_SA_TAS_WA,"Hearing Impairment, Hearing Impairment",Female,2111903,21119,20604,206
2412,82e63c30-d243-11ea-9818-790e5fd47e9b,2010-04-10,Cate,Romand,ACT_NSW_QLD_VIC,,Female,3124802,31248,30906,309
1358,f90c88b0-c7f3-11ea-baa6-ebfe92aca975,2011-10-01,Catharina,Learoid,ACT_NSW_QLD_VIC,,,3101707,31017,30103,301
4189,9c7a5c00-e786-11ea-973c-bf41324305ed,2000-10-18,Catlaina,Cawdery,ACT_NSW_QLD_VIC,,,3111727,31117,30502,305
5285,44193750-2540-11eb-a49f-ad73a8ae667c,1971-07-20,Caty,Perris,ACT_NSW_QLD_VIC,"Posttraumatic stress disorder, spinal cord injury, Spinal Muscular Atrophies",Female,2142010,21420,21701,217
4952,04e703e0-1367-11eb-abd4-6782691e7c70,1958-09-19,Ceil,Rosbotham,ACT_NSW_QLD_VIC,,Female,0,0,0,0
6401,ef6ed3e0-8539-11eb-a452-d11fefc8bc29,2016-01-19,Celeste,Patkin,ACT_NSW_QLD_VIC,,Female,3102737,31027,30202,302
5517,70b211d0-381c-11eb-9b21-438fb20b5807,2016-07-18,Cesar,Toquet,ACT_NSW_QLD_VIC,,Female,3124802,31248,30906,309
3662,e3f60930-dddb-11ea-9778-1b0c0628d4fc,1973-07-19,Chadd,Patzelt,NT_SA_TAS_WA,"F99-Other psychosocial disorders ",Female,0,0,0,0
6073,bccafa60-6b65-11eb-9448-b544bf2659eb,2016-09-13,Cherianne,Pauleit,NT_SA_TAS_WA,,Female,0,0,0,0
5826,f4a5edf0-59e5-11eb-8a08-618d7f597f0d,2014-02-03,Cherice,McGregor,ACT_NSW_QLD_VIC,"Attention Deficit Disorder, Ticks, Post-tramatic Stress Disorder",Female,3131608,31316,31103,311
5452,5c43bbd0-32be-11eb-ac41-05f97d00e97c,1986-08-02,Chiarra,Berrey,ACT_NSW_QLD_VIC,,Female,0,0,0,0
5882,86ce5a40-5c58-11eb-ac19-4ff498f2de6e,1979-10-31,Chic,Ghent,ACT_NSW_QLD_VIC,,Female,0,0,0,0
5587,ec7a41b0-3dcc-11eb-89a0-2f1d71e32180,2015-06-22,Chrissie,Hanrahan,ACT_NSW_QLD_VIC,,Male,0,0,0,0
2297,fae61eb0-d23b-11ea-a13a-d188ddbdc773,2016-02-25,Christiane,Phythean,ACT_NSW_QLD_VIC,,Female,3124802,31248,30906,309
2865,c430fdd0-d6d3-11ea-9cd1-f194648955a5,2015-11-15,Christie,Easom,ACT_NSW_QLD_VIC,,Male,3113010,31130,30503,305
5204,eb9afe30-1f20-11eb-8a33-f1c19f7a1887,1986-06-04,Chuck,Cuthbert,ACT_NSW_QLD_VIC,,Female,0,0,0,0
1365,f9328740-c7f3-11ea-baa6-ebfe92aca975,2007-01-07,Cilka,Garoghan,ACT_NSW_QLD_VIC,,Male,3132514,31325,31105,311
4333,7f73a110-e8f4-11ea-95c6-1ddffa748b78,1988-09-17,Clarita,Keizman,ACT_NSW_QLD_VIC,Polymyositits,Male,0,0,0,0
5076,8f3849d0-18ff-11eb-b551-af94cbbcf953,2011-08-26,Clary,Lineham,NT_SA_TAS_WA,,Male,3124802,31248,30906,309
2048,a7598630-d220-11ea-b70a-d17e589b1829,1983-08-03,Claudetta,Chantree,ACT_NSW_QLD_VIC,,Male,3130907,31309,31102,311
4293,c86bfdb0-e811-11ea-87ea-9f6761fd60c1,1963-06-01,Claus,Cardenosa,ACT_NSW_QLD_VIC,,Male,3124802,31248,30906,309
5870,58e75960-5b9a-11eb-a478-c32520cfe112,1995-11-23,Cloris,Ohrt,ACT_NSW_QLD_VIC,,Female,3102404,31024,30201,302
678,bd30a290-c7e9-11ea-80e0-3df355beb07c,1972-06-23,Collete,Craster,ACT_NSW_QLD_VIC,"Multiple Sclerosis",Female,0,0,0,0
821,bfcf9060-c7e9-11ea-80e0-3df355beb07c,2004-01-14,Concettina,Gridley,ACT_NSW_QLD_VIC,"Intellectual disability",Female,3124802,31248,30906,309
3757,f02989f0-e52b-11ea-aa27-0bababe260e0,1989-03-01,Constantina,Giorgeschi,ACT_NSW_QLD_VIC,,,2125401,21254,21101,211
2895,56921c60-d790-11ea-ab74-751e90dda543,2016-10-11,Consuelo,Bootton,NT_SA_TAS_WA,,Male,0,0,0,0
2954,b6251d00-d86a-11ea-8168-a5ce29c3a2bd,2008-09-09,Corabella,Padfield,ACT_NSW_QLD_VIC,"Learning disability , ASD Level 2 , ADHD, Anxiety",Female,3124802,31248,30906,309
5284,0f6c3850-253f-11eb-9658-eb57d8abc169,1987-07-27,Cordey,Attride,ACT_NSW_QLD_VIC,,Male,3130510,31305,31101,311
4927,97757860-11d0-11eb-81bd-c3f7a15bac31,1984-05-01,Coreen,Georgins,ACT_NSW_QLD_VIC,"Intellectual disability",Male,2110315,21103,20505,205
6304,dc3b91d0-7cad-11eb-9e0c-892eb69c0f21,1999-10-21,Corenda,Duffield,NT_SA_TAS_WA,,Male,3113713,31137,30504,305
3499,dd58f610-ddb7-11ea-a31a-7d25e47a5c0a,2002-04-24,Corenda,Scandred,ACT_NSW_QLD_VIC,,,3124802,31248,30906,309
4327,d14b2bd0-e8e9-11ea-a628-29d589aa04f8,1987-08-31,Cori,Pye,ACT_NSW_QLD_VIC,,Male,3124802,31248,30906,309
6049,921a1060-69b9-11eb-83b8-e100b72ad051,1968-06-12,Cornelia,Adnett,ACT_NSW_QLD_VIC,,Male,3124802,31248,30906,309
4482,f294c0c0-f646-11ea-b99a-ad0bd27ff3fe,1964-08-17,Corrinne,Olyonov,ACT_NSW_QLD_VIC,,Male,3132708,31327,31105,311
5393,e5aef390-2d4a-11eb-a345-05146c1a2a8a,1971-10-25,Corrinne,Rookeby,NT_SA_TAS_WA,"Post traumatic stress disorder, Anxiety, Spinal nerve damage, Depression",Male,0,0,0,0
4904,62ad92a0-0f43-11eb-9e25-27a62a7e33e8,1968-11-03,Corry,Bwy,ACT_NSW_QLD_VIC,,Female,1122115,11221,11102,111
4149,76161ea0-e781-11ea-81ad-09a1d4aac9cd,1981-12-18,Creighton,Trowel,ACT_NSW_QLD_VIC,,,0,0,0,0
4046,351301b0-e741-11ea-804b-97facb641bb5,1999-05-07,Cris,Giovanardi,ACT_NSW_QLD_VIC,"Cerebral palsy",Male,3124802,31248,30906,309
3930,04859e00-e588-11ea-b453-3de7750d4ba6,1953-03-15,Crissy,Gentiry,ACT_NSW_QLD_VIC,,Male,3112806,31128,30503,305
4793,c3d67c20-0833-11eb-b6ed-f93c3156e4a8,2006-01-09,Cristin,Bodman,NT_SA_TAS_WA,,Male,3124802,31248,30906,309
1068,f30d0ac0-c7f3-11ea-baa6-ebfe92aca975,2017-09-21,Cristina,Pride,ACT_NSW_QLD_VIC,,Female,3108708,31087,30402,304
4036,302d3bf0-e6a3-11ea-9408-6fe4d3c8fa9c,2012-11-12,Crysta,Clemmow,ACT_NSW_QLD_VIC,,,3124802,31248,30906,309
5970,c14d8530-6426-11eb-9eb3-7780fece24fc,2005-01-28,Currie,Crookston,ACT_NSW_QLD_VIC,,Male,3114614,31146,30602,306
3596,df564cb0-ddb7-11ea-a31a-7d25e47a5c0a,1954-10-13,Currie,Roxbee,ACT_NSW_QLD_VIC,,Male,0,0,0,0
991,f16aa560-c7f3-11ea-baa6-ebfe92aca975,1980-05-04,Cybill,Husher,ACT_NSW_QLD_VIC,,Female,3124802,31248,30906,309
1507,974a6010-ca5b-11ea-8df2-0fd9060b8808,2006-11-07,Cynthie,Hindenberger,ACT_NSW_QLD_VIC,"Intellectual disability",Male,3105916,31059,30302,303
3889,03a80f40-e588-11ea-b453-3de7750d4ba6,1985-12-20,Cyrus,Franssen,ACT_NSW_QLD_VIC,,Female,3110924,31109,30501,305
5557,9229cb10-3a96-11eb-8b0c-4b58119e4e03,2014-04-15,Damita,Wallworth,ACT_NSW_QLD_VIC,,Male,0,0,0,0
5450,3830a4f0-32ba-11eb-8197-b9b4a4efe74a,1975-05-27,Dannie,Kalberer,NT_SA_TAS_WA,,Female,3127334,31273,31001,310
5580,b6f467b0-3b82-11eb-ae92-13d89e59e51d,2019-01-02,Dannye,Duckham,ACT_NSW_QLD_VIC,,Male,2131420,21314,21204,212
6423,e6e0fd50-8612-11eb-9ffd-c92b23ee38cb,1999-08-05,Daphene,Bonsall,ACT_NSW_QLD_VIC,,Male,3124802,31248,30906,309
4576,b4f113c0-fd5f-11ea-bdcd-d751e48c03fc,2004-10-11,Daria,Takis,ACT_NSW_QLD_VIC,,Male,0,0,0,0
4984,ce816900-1742-11eb-b10f-93d3e78b25ef,2003-12-21,Darice,Yesipov,ACT_NSW_QLD_VIC,,Male,4106012,41060,40302,403
6391,4f1f7410-82f2-11eb-b773-6b1a463ffe65,1997-04-27,Darlene,"De Gowe",ACT_NSW_QLD_VIC,,Female,0,0,0,0
6300,bc7dbd90-7ca4-11eb-95bd-9bd58a6d6229,1983-11-05,Daune,Higbin,ACT_NSW_QLD_VIC,,Male,0,0,0,0
4974,9826d7b0-14e9-11eb-aaa3-e16e1b468e58,1956-09-05,Davin,Patience,ACT_NSW_QLD_VIC,,Female,0,0,0,0
