visaSubclass,age,english,educationalQualifications,specialEndorsement,financialAssets,businessTurnover,businessInnovationQualifications,overseasSkilledEmployment,australianSkilledEmployment,australianStudyRequirement,specialistEducationQualification,credentialledCommunityLanguage,studyInRegionalAustralia,partnerSkills,professionalYearInAustralia,nomination,businessInnovationStream,investorStream,firstName,lastName
3,5,2,2,,-1,-1,2,1,2,0,0,0,1,0,1,-1,-1,-1,Farrah,Ovid
1,5,1,-1,1,1,3,1,0,4,0,0,1,1,0,0,-1,0,-1,Ardenia,Anestassia
3,4,0,1,0,-1,-1,1,3,3,1,0,1,0,1,1,1,1,0,Hyacinthe,Zetta
1,6,1,3,0,1,-1,1,0,3,1,1,1,0,0,0,0,1,,Jobi,Beniamino
3,6,2,1,,2,1,0,2,1,0,0,0,0,2,0,1,,0,Brynna,Darbie
1,0,2,1,,1,0,5,1,2,0,1,0,1,1,1,-1,0,1,Damaris,Henebry
3,2,2,-1,1,,0,-1,1,1,0,1,0,0,1,0,1,0,-1,Molli,Naor
4,2,-1,-1,,,3,3,3,3,1,0,0,1,1,0,0,0,,Augustine,Lory
1,0,2,3,1,2,,3,2,4,0,1,1,0,2,1,1,-1,1,Harmonia,Donoghue
0,5,1,2,0,0,0,1,3,0,0,1,0,0,2,0,0,1,1,Kathy,Himelman
1,2,2,0,0,2,-1,2,0,3,0,1,1,0,1,1,-1,0,0,Cecile,Goerke
2,2,1,3,1,0,,-1,0,2,1,0,0,0,2,0,1,1,1,Lesly,Bohlin
4,2,0,3,,2,-1,6,3,0,1,1,1,1,0,1,-1,-1,0,Eolanda,Anastatius
1,0,-1,-1,,,0,6,1,4,0,1,1,1,2,1,-1,0,0,Queenie,Zachary
1,3,0,-1,0,3,3,3,2,1,1,0,0,0,1,1,-1,-1,0,Monika,Morehouse
1,0,2,3,,1,3,2,2,1,1,0,1,0,2,1,1,1,-1,Gerrie,McCutcheon
4,2,0,-1,1,0,0,,3,4,1,0,0,0,2,1,-1,1,,Julieta,Chinua
3,5,0,2,,2,0,,0,0,0,1,1,1,0,1,-1,-1,-1,Celisse,Wenoa
4,4,1,2,,1,-1,3,1,4,1,0,0,1,1,1,-1,,1,Marcy,Giff
0,3,1,1,0,-1,2,4,1,4,0,0,0,0,0,0,-1,,1,Jobi,Lane
3,1,2,1,1,1,0,0,3,2,0,1,0,0,2,0,-1,,,Emylee,Atonsah
3,3,1,3,,0,0,2,1,0,0,1,1,1,2,0,1,-1,,Tracey,Travax
4,4,1,0,1,-1,3,5,0,0,1,1,0,0,2,1,-1,,1,Althea,Percy
4,1,1,1,1,2,1,1,3,1,1,1,1,1,1,0,0,-1,0,Dianemarie,Hepsibah
3,3,0,-1,0,1,1,-1,3,2,0,1,1,0,0,0,-1,0,-1,Riannon,Ferrell
2,6,0,3,1,1,0,-1,2,2,1,0,1,0,0,0,0,1,1,Stevana,Herrera
1,6,-1,-1,1,,3,6,2,1,0,0,1,0,0,1,-1,,,Hannis,Timon
0,5,0,3,,0,1,,3,4,1,1,1,1,0,1,-1,1,0,Ethel,Kussell
3,3,-1,0,1,1,2,4,0,1,0,0,0,1,1,0,-1,-1,,Deane,Stephie
2,3,-1,3,0,2,0,-1,2,4,1,1,1,1,1,0,0,0,-1,Arlena,Selway
3,3,0,3,0,,2,5,2,1,0,0,0,1,1,1,-1,-1,,Edee,Aldric
4,3,1,2,,1,-1,0,0,2,0,0,1,1,0,1,0,1,1,Emylee,Gunn
4,6,2,0,,,-1,1,3,1,0,0,0,1,2,0,0,1,,Rhoda,Levey
3,4,2,0,1,2,0,0,3,1,0,1,0,0,0,0,0,0,-1,Sean,Randene
0,0,1,2,,-1,3,4,1,3,1,1,1,1,0,0,0,1,,Pierette,Sholley
3,6,1,0,1,0,-1,-1,3,4,0,0,0,1,1,0,0,0,0,Marti,Ioab
1,4,0,-1,1,1,0,4,1,3,0,1,0,1,1,0,0,1,,Orsola,Mott
0,5,1,1,,3,-1,4,3,3,1,1,1,1,1,0,-1,,,Roxane,Mendez
3,4,0,3,,-1,,,0,3,1,1,0,0,1,1,1,0,1,Madeleine,Hollingsworth
4,3,1,3,1,2,-1,0,3,0,1,1,1,0,1,0,1,1,0,Alleen,Emmaline
0,3,1,-1,,,0,2,0,4,0,0,1,1,1,0,1,0,0,Angela,Karl
2,6,1,0,1,2,0,5,2,1,1,0,0,0,2,0,1,1,0,Fanny,Margarete
4,3,-1,3,1,-1,1,,1,1,0,1,0,0,0,0,1,1,1,Imojean,Tice
3,2,-1,-1,0,0,3,4,1,0,1,1,0,0,0,1,1,,0,Konstance,Emerson
3,3,0,3,0,3,1,,3,0,0,1,1,0,2,0,1,-1,-1,Neila,Carmena
0,1,1,-1,,0,1,5,3,1,0,0,1,1,1,1,1,-1,,Madalyn,Richers
0,4,2,2,,,3,-1,0,2,1,0,1,1,0,1,-1,0,0,Lindie,Gerge
1,5,-1,2,1,,2,3,3,4,0,0,1,0,1,1,1,1,-1,Vivia,Abram
2,0,1,1,0,,1,4,1,1,0,1,1,1,2,1,1,,1,Jere,Lasley
2,5,0,1,,-1,,0,0,3,0,0,0,0,2,1,-1,0,-1,Elvira,Prober
3,0,1,3,1,2,-1,6,1,2,0,1,1,0,0,1,-1,0,0,Betta,Daniele
4,0,2,-1,,,2,2,2,2,1,0,1,1,1,0,-1,-1,0,Minda,Natalia
3,5,0,2,1,1,0,5,0,2,0,1,0,1,0,0,-1,-1,1,Basia,Cherianne
3,5,2,2,1,1,3,-1,1,4,0,1,0,0,2,0,1,,1,Ira,Codding
2,0,0,3,0,,3,4,3,3,1,1,1,0,2,0,0,0,-1,Minda,Heidt
0,5,-1,2,,2,3,-1,0,4,0,1,1,0,1,1,1,-1,-1,Xylina,Zrike
3,4,0,1,0,3,3,,2,1,1,1,0,0,1,1,0,,0,Kimberley,Hanshaw
3,4,0,2,1,0,3,5,1,2,0,0,0,0,2,1,0,0,1,Suzette,Anyah
2,2,1,-1,,0,0,6,3,1,1,0,1,1,2,0,0,0,0,Kristan,Podvin
3,0,1,-1,0,3,3,,1,2,1,0,1,1,2,0,1,0,-1,Audrie,Medrek
3,4,0,1,,-1,2,4,1,3,1,1,0,0,1,1,-1,-1,,Riannon,Knowling
1,3,2,1,1,1,2,5,2,2,0,0,0,0,0,0,1,1,1,Charissa,Poppy
1,3,1,0,,0,-1,-1,3,2,0,1,1,1,2,0,1,-1,,Carly,Hoenack
0,0,2,0,0,-1,2,2,2,3,1,1,1,0,1,0,-1,1,-1,Emylee,Maurine
1,6,1,1,,-1,-1,3,1,3,1,1,1,1,0,0,-1,-1,1,Frances,Charmine
4,0,-1,2,0,,3,-1,0,4,0,0,1,1,2,1,-1,,0,Hyacinthe,Gemini
3,6,1,2,0,3,2,1,2,4,1,0,1,1,2,0,0,,-1,Edyth,Tatianas
1,0,2,3,0,-1,3,3,1,2,0,0,0,1,1,1,0,0,-1,Christal,Bollay
1,3,0,3,0,1,3,4,3,0,0,1,0,0,0,0,0,-1,-1,Gwenneth,Tannie
4,3,1,2,0,,2,1,1,4,1,1,1,0,1,0,0,,1,Cindelyn,Graig
3,6,-1,1,,3,0,5,3,3,0,0,1,0,0,0,0,-1,-1,Demetris,Sawtelle
2,5,-1,-1,,3,0,5,3,2,1,0,0,1,1,1,0,,,Gerianna,Cosenza
4,1,0,1,1,3,,3,3,0,1,0,0,0,1,1,-1,-1,-1,Gretal,Guthrie
0,6,2,0,,0,-1,,2,1,0,1,0,1,2,1,-1,0,1,Adele,Marcellus
4,3,1,0,1,2,1,4,3,4,0,1,0,1,0,1,-1,,0,Jean,Stoller
4,1,0,-1,1,3,2,6,2,4,1,0,0,1,2,0,1,-1,-1,Marinna,Center
2,6,2,3,,1,2,6,2,0,1,0,1,0,1,1,-1,1,1,Ingrid,Bollay
2,6,-1,2,,3,1,,2,4,1,0,0,0,0,0,0,,1,Miquela,Earlie
1,0,2,1,1,-1,0,4,0,0,0,1,1,1,1,1,-1,1,,Leanna,Liebermann
3,3,2,2,0,2,,3,2,0,1,0,1,1,0,0,-1,,,Melisent,Maurine
0,2,2,2,0,-1,3,5,2,2,1,0,0,0,1,0,-1,0,1,Iseabal,Robertson
2,3,-1,2,0,1,1,1,1,4,0,0,0,1,2,0,-1,0,1,Etta,Ajay
4,5,1,2,0,0,2,-1,2,4,1,0,1,1,0,0,0,1,1,Beth,Braun
4,6,1,2,,0,3,4,0,0,0,0,1,0,1,0,-1,1,0,Charmaine,Charmine
2,4,2,1,1,-1,1,3,3,2,1,0,1,1,0,0,0,-1,0,Melanie,Read
2,3,1,0,1,1,1,2,2,0,1,1,0,0,1,0,0,0,,Claudina,Zuzana
3,1,1,-1,,2,3,4,1,2,0,1,0,1,1,0,0,1,1,Joelly,Niles
1,6,2,1,0,-1,-1,4,3,3,0,1,0,0,0,0,1,,1,Gale,Cynar
0,2,0,1,,1,-1,5,3,2,1,0,1,0,1,1,-1,,1,Marinna,Grobe
3,0,0,0,0,2,0,2,0,3,0,0,1,0,0,0,-1,,1,Ida,Ardra
4,3,2,-1,,-1,0,0,2,4,1,1,1,0,0,1,0,1,,Ana,Heisel
1,3,0,0,1,-1,2,,1,0,0,0,1,1,0,0,0,,-1,Chrystel,Kesley
0,2,1,1,1,1,2,2,0,1,0,0,1,1,2,0,1,1,-1,Genevra,Anestassia
3,3,0,-1,1,2,2,3,3,2,0,0,1,0,0,0,1,,0,Therine,Geffner
1,1,0,3,1,,,3,1,0,0,1,0,0,2,1,-1,,-1,Allis,Rosalba
0,4,0,3,1,3,0,,2,1,0,1,0,0,2,0,1,,0,Elie,Francene
4,2,1,0,0,-1,1,6,2,3,0,1,0,1,1,0,0,0,-1,Deirdre,Leonard
1,4,2,1,1,2,1,0,0,1,0,1,0,0,2,1,-1,1,,Queenie,Evangelia
2,4,2,2,1,1,3,3,0,3,1,1,0,1,1,0,1,-1,1,Dolli,Millda
2,5,1,2,1,0,,0,1,3,1,1,1,0,0,0,1,,,Tarra,Evvie
0,1,1,2,1,1,3,2,3,1,0,0,0,0,1,0,1,1,0,Doralynne,Sadowski
0,6,-1,0,1,1,0,1,1,4,0,1,1,1,2,0,0,0,-1,Aili,Colbert
3,1,0,3,1,1,1,4,1,4,0,0,1,0,2,0,1,-1,0,Nannie,Hailee
1,6,0,3,1,3,1,3,2,1,1,1,0,0,2,1,-1,,1,Aubrie,Ledah
3,5,0,0,0,2,3,,2,4,0,0,1,0,1,1,0,-1,,Jean,Melan
3,6,0,1,1,1,,4,3,2,1,0,1,0,0,1,-1,,-1,Violet,Dahlia
1,6,2,1,,,1,1,1,3,0,1,1,1,1,1,0,-1,-1,Elka,Billye
4,0,2,-1,1,-1,-1,1,2,0,1,0,1,1,0,1,0,-1,1,Nerta,Means
1,6,2,-1,0,0,1,1,0,2,1,1,1,1,2,0,-1,,0,Collen,Kendrick
0,1,2,0,1,-1,3,2,1,4,1,0,0,1,2,0,0,-1,,Vere,Nea
4,1,-1,2,1,2,2,3,2,3,1,0,0,0,1,1,1,-1,0,Estell,Alejoa
2,3,2,0,1,3,,2,2,4,0,1,1,0,1,1,0,1,,Philis,Oriana
0,2,-1,3,,1,-1,0,3,1,1,0,0,0,1,0,0,,-1,Leanna,Kristi
3,0,-1,1,1,,-1,-1,2,4,0,1,0,1,2,0,1,0,-1,Marylou,Socha
4,1,2,-1,0,3,0,4,2,4,0,1,1,0,2,0,0,0,0,Teriann,Rooney
2,1,1,-1,1,2,-1,0,1,3,0,0,0,0,1,1,0,-1,0,Dyann,Bord
3,1,2,0,1,,1,6,1,1,0,0,0,0,0,1,-1,1,,Rori,Suk
1,4,1,-1,,,0,2,3,4,1,0,0,1,1,0,1,-1,,Chrystel,Mozelle
0,5,2,0,,1,2,0,0,2,0,1,1,1,1,0,1,1,,Tonia,Katrine
4,1,0,2,1,-1,2,,3,3,1,1,1,0,2,0,-1,-1,,Corly,Erich
0,5,1,1,1,3,1,5,1,0,1,0,1,0,1,1,0,0,0,Maryellen,Brotherson
2,6,0,3,1,-1,,2,2,2,1,1,0,1,0,1,1,,0,Queenie,Velick
0,4,1,2,,0,,0,1,4,0,1,0,0,1,0,1,-1,-1,Philis,Hathaway
0,3,2,2,1,,-1,0,2,2,1,1,0,1,1,0,0,,1,Allis,Buttaro
1,1,0,2,0,,2,4,0,4,0,0,1,1,2,0,0,0,0,Fredericka,Ietta
2,3,1,0,1,3,,3,0,2,0,1,1,1,0,1,0,,-1,Gertrud,Iiette
1,6,-1,0,0,-1,-1,6,2,4,1,0,0,0,1,0,0,,-1,Ayn,Iiette
0,5,-1,-1,,,1,,2,3,1,0,0,0,2,1,1,1,0,Winny,Bearnard
0,3,-1,1,,,3,2,3,4,0,0,0,0,1,1,-1,,-1,Nickie,Mich
0,0,1,3,,3,3,0,1,4,0,0,0,0,1,1,1,-1,1,Elie,Roarke
1,2,-1,-1,,3,0,,2,3,0,1,0,1,2,0,0,-1,1,Stephanie,Neva
1,0,-1,0,,3,0,5,2,4,1,0,0,0,0,0,-1,1,,Vonny,Santoro
1,0,2,1,0,1,1,1,0,2,0,0,1,0,2,1,1,1,0,Adriana,Kelula
3,0,1,3,1,,2,,0,0,1,1,0,0,0,0,-1,,1,Dulcinea,Judye
1,5,-1,0,,0,3,2,3,1,1,1,1,0,0,1,-1,-1,1,Veda,Lymann
0,4,2,-1,0,2,-1,3,3,2,1,1,0,0,0,0,-1,-1,1,Lorenza,Junie
3,2,0,-1,,-1,3,0,0,1,1,0,0,1,1,1,0,-1,1,Feliza,Dawkins
2,1,2,2,,3,0,2,3,0,1,0,1,1,2,1,0,0,1,Kamilah,Radu
1,6,0,-1,0,2,,2,0,0,1,0,0,0,1,0,0,,0,Zaria,Borrell
4,0,0,3,1,0,0,3,0,2,1,0,1,0,0,0,0,1,1,Melina,Waite
4,3,-1,2,,1,1,-1,2,0,1,0,0,0,2,0,1,-1,1,Corene,Jess
1,6,2,2,,2,2,3,2,1,1,0,0,0,2,1,1,0,,Tera,Clywd
0,4,2,-1,,1,1,2,3,0,1,1,0,0,0,1,1,0,-1,Regina,Taima
1,5,2,0,0,0,0,6,0,1,0,0,0,1,0,0,-1,-1,1,Margalo,Whittaker
4,5,1,0,,1,0,3,1,0,1,1,0,1,0,0,-1,0,1,Chandra,Croix
3,0,1,-1,1,0,0,2,0,4,1,1,1,0,1,1,0,0,-1,Heddie,Bouchard
3,1,-1,3,,-1,1,-1,1,0,0,0,1,0,1,0,1,-1,,Letizia,Cookie
1,3,2,1,1,,2,0,2,0,0,1,0,1,0,0,-1,0,-1,Abbie,Tjon
3,6,2,-1,0,,3,6,3,2,0,0,1,0,2,0,1,,0,Amelia,Sacken
1,3,0,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,Melina,Hedve
0,0,1,1,0,,,4,3,0,1,0,1,0,2,0,0,1,,Karina,Magnolia
0,6,2,2,0,2,0,6,2,0,0,1,1,0,0,1,-1,,0,Ardeen,Geffner
0,0,0,0,1,0,,,3,0,0,1,1,0,2,1,1,-1,0,Carolina,Natalia
4,5,1,1,0,0,,0,1,4,0,1,1,0,0,0,1,,,Myrtice,Merriott
3,1,1,2,,0,0,5,2,0,0,0,0,1,2,1,0,,-1,Ardeen,Ietta
4,6,-1,3,0,2,3,4,1,3,0,1,1,0,2,1,-1,1,1,Cristabel,Loring
2,4,0,3,0,3,2,-1,1,0,1,0,0,0,1,1,-1,-1,1,Blake,Oriana
3,6,1,1,1,1,1,6,2,1,1,1,1,0,1,1,-1,1,1,Agathe,Deny
3,0,0,0,1,0,-1,,3,1,0,0,1,0,0,0,1,,1,Kaia,Suanne
2,2,2,3,0,,2,2,1,0,1,0,0,1,0,1,-1,1,,Althea,Bertold
4,2,0,0,1,2,1,4,0,0,1,0,1,0,2,0,-1,-1,,Clo,Lumbard
4,6,2,2,,2,0,5,0,0,0,1,1,0,2,0,1,-1,1,Janey,Autrey
1,5,1,3,1,3,1,3,1,2,1,0,1,0,1,1,0,0,0,Gretal,Janene
0,5,-1,3,0,-1,-1,6,0,3,1,1,1,1,1,0,0,,-1,Loree,Belanger
1,0,2,1,1,1,,3,1,2,1,0,0,1,0,1,0,,0,Isa,Baudin
1,2,1,-1,,,0,-1,0,0,0,0,0,1,2,0,1,,-1,Nickie,Dimitris
4,0,-1,-1,0,0,2,1,2,2,1,0,1,0,2,1,0,0,-1,Cacilie,Sallyann
4,5,2,2,,1,0,2,1,4,0,1,0,1,1,0,-1,-1,0,Feliza,Alisia
3,0,1,-1,1,0,0,4,1,1,1,0,1,0,0,1,0,1,,Queenie,Love
1,2,2,1,0,,,3,3,1,0,1,1,0,0,0,1,,,Penelopa,Emmaline
3,2,1,2,0,-1,3,4,0,2,0,0,0,1,0,0,-1,0,0,Eve,Berne
2,5,0,2,0,1,3,,3,4,1,0,1,0,0,1,0,-1,,Arlina,Madox
4,3,0,2,1,,3,-1,0,2,1,0,0,0,1,0,0,-1,0,Kary,Maples
4,0,-1,1,,-1,3,1,3,1,0,0,1,1,2,1,1,,0,Josephine,Judye
3,6,-1,2,0,0,1,3,1,1,1,0,1,0,0,1,1,,1,Ursulina,Holtz
2,4,0,3,1,3,0,2,2,4,0,1,0,1,2,1,0,0,,Rhoda,Shaver
1,6,0,3,0,-1,3,5,1,3,0,0,0,0,2,1,0,1,1,Clary,Constancy
3,1,2,3,1,0,1,,1,0,0,1,1,0,0,0,-1,1,-1,Fred,Hurley
0,4,1,1,1,2,-1,0,3,4,0,0,0,0,2,1,0,1,1,Frances,Kevon
4,1,1,2,1,0,3,1,0,3,0,0,1,0,2,0,1,-1,1,Millie,Dosia
1,6,0,2,0,0,3,3,0,1,1,1,0,0,1,0,-1,-1,-1,Christal,Bonilla
4,0,0,1,0,,0,3,1,4,1,1,0,1,0,1,-1,1,,Yvonne,Ciapas
1,2,2,2,,-1,1,,0,4,1,0,1,1,1,0,0,0,-1,Devina,Cleo
3,1,-1,2,0,,2,1,2,4,0,0,1,0,2,0,0,0,,Ingrid,Gaal
0,3,1,2,,-1,,1,1,2,1,1,0,0,0,1,1,0,1,Ashlee,Kirstin
4,2,1,1,1,2,,0,3,2,0,0,1,1,2,1,-1,0,1,Harrietta,Boehike
3,0,2,1,0,-1,0,-1,0,2,1,1,1,0,0,0,-1,-1,,Gerrie,Weitman
0,0,0,3,0,1,1,-1,2,3,1,0,0,0,1,1,1,1,-1,Gloria,Swanhildas
1,2,0,2,1,,3,5,3,3,1,1,0,1,0,0,-1,-1,1,Emilia,Nedrud
4,5,0,2,,1,3,3,0,0,0,0,1,0,1,0,1,0,-1,Gabi,Jalbert
4,5,1,-1,0,,0,2,3,3,0,0,1,1,0,0,1,0,1,Konstance,Parsaye
1,0,1,0,,-1,3,3,2,3,1,0,1,0,1,1,1,,,Raina,Dielu
1,6,1,3,,0,2,4,2,4,1,1,0,0,2,1,-1,,,Melisent,Kunin
0,1,-1,0,1,1,1,3,2,1,1,1,1,1,2,0,-1,0,1,Chandra,Maroney
0,2,0,2,0,3,,4,0,1,1,0,1,0,1,1,-1,1,,Tersina,Holbrook
3,6,1,0,,2,3,3,1,4,0,0,0,1,2,1,0,1,,Paulita,Christal
1,2,2,2,,1,1,5,1,4,0,0,0,1,0,1,-1,1,1,Mathilda,Corrine
3,5,-1,0,,0,-1,3,3,0,0,0,1,1,0,0,-1,0,1,Jan,Carvey
1,1,0,1,,,-1,5,1,4,1,0,0,0,0,1,-1,-1,,Correy,Audly
2,4,0,0,,-1,-1,6,0,4,0,1,1,0,1,0,0,-1,,Collen,Georgy
1,2,2,1,0,2,3,5,3,4,0,0,0,1,0,0,-1,-1,1,Eugine,Tybald
4,4,-1,1,0,3,1,-1,1,3,1,1,0,1,1,1,0,-1,,Lanae,Guthrie
2,0,1,3,1,2,,,2,3,0,0,1,0,1,1,-1,0,-1,Dotty,Zenas
2,3,0,2,,,,-1,0,3,1,0,0,1,0,1,0,-1,,Christy,Greyson
3,4,0,3,0,0,1,6,3,0,1,1,1,0,0,1,0,-1,0,Romona,Wildermuth
3,1,0,-1,,,1,1,2,4,0,1,1,1,2,0,-1,1,-1,Aeriela,Zachary
4,0,0,1,0,1,3,3,1,3,0,0,1,0,1,1,1,0,0,Jsandye,Merat
0,5,0,3,0,1,,,1,4,0,1,1,1,0,0,-1,,-1,Shell,Hepsibah
1,4,2,1,1,,-1,5,0,4,0,0,0,1,0,0,1,,-1,Lorne,Kellby
3,0,1,2,0,-1,-1,-1,0,4,0,0,0,1,1,0,0,0,,Dyann,Rebecka
3,2,1,0,,0,2,0,1,4,0,0,0,0,0,0,0,-1,-1,Daryl,Blisse
4,2,1,-1,0,0,2,4,3,3,0,1,1,1,1,1,-1,,1,Elise,Zola
3,2,2,0,1,2,0,2,2,1,1,0,1,0,1,0,1,-1,1,Layla,Zeeba
3,6,1,2,,0,3,6,3,3,1,1,0,0,1,1,0,-1,,Doralynne,Mathilde
4,4,1,-1,,3,3,1,2,3,0,0,1,1,2,1,-1,,0,Ezmeralda,Saunderson
0,2,1,0,1,-1,2,4,0,0,1,1,1,1,1,1,-1,1,,Jere,Israeli
2,2,2,3,,2,-1,3,3,1,0,1,0,0,0,0,1,1,,Vevay,Colleen
3,1,1,0,0,1,-1,6,1,3,0,0,1,1,2,1,0,1,1,Lynde,Rossner
1,4,1,-1,,1,1,5,2,4,0,0,0,1,2,1,0,,0,Cassandra,Teryn
0,2,0,-1,,1,0,4,1,2,0,1,1,0,1,1,0,,-1,Karolina,Milson
1,1,2,0,1,2,,1,2,3,0,0,0,0,0,0,1,0,,Ottilie,Libna
3,6,0,0,0,,-1,,0,0,0,0,0,0,2,0,1,-1,-1,Cathie,Marijo
1,1,-1,1,,-1,,1,0,4,0,1,0,1,2,1,1,0,-1,Marcy,Serilda
4,4,-1,1,0,,1,5,3,0,0,0,0,0,0,0,-1,0,-1,Nerta,Parsaye
2,6,0,2,,1,2,4,1,0,0,0,1,0,0,0,1,1,0,Hermione,Camden
3,6,-1,1,,3,2,3,0,2,0,1,0,0,0,0,-1,,-1,Genovera,Glenden
2,0,0,-1,,1,3,5,2,3,0,1,0,1,1,0,0,0,,Helena,Ardra
2,5,0,3,0,,0,1,0,1,0,1,0,1,0,1,-1,,-1,Kary,Oriana
0,1,0,2,1,0,2,1,3,2,0,1,0,0,1,1,1,,0,Dione,Boycey
3,3,-1,-1,0,2,-1,5,1,4,1,0,0,0,1,0,1,1,0,Kamilah,Zeeba
4,6,0,1,1,0,2,4,2,2,0,1,0,1,2,1,1,-1,-1,Kathy,Johnsson
3,1,0,-1,1,-1,0,1,0,2,1,1,0,0,0,1,1,0,,Deedee,Arvo
4,4,0,0,,1,,6,2,4,1,1,0,0,0,1,0,,1,Correy,Dosia
3,6,0,0,1,1,,5,0,4,0,0,1,1,2,0,-1,-1,,Margette,Minetta
4,0,2,3,,,,,2,1,0,0,0,1,1,1,0,,1,Winifred,Warthman
2,2,2,1,,0,,-1,1,1,0,1,1,0,2,1,0,0,1,Elie,Cleo
0,0,-1,-1,,3,3,6,1,1,1,0,0,0,2,1,0,,,Berget,Nicoline
2,0,0,-1,1,-1,2,-1,1,4,0,1,1,0,2,0,0,0,-1,Teriann,Cynar
2,3,0,1,0,-1,2,4,2,1,1,0,1,0,0,1,-1,-1,-1,Celestyna,Jethro
3,3,1,-1,0,-1,0,2,1,1,1,0,1,0,1,0,-1,-1,-1,Tersina,Juliet
3,2,-1,3,0,-1,-1,1,0,0,0,1,1,1,0,0,-1,,-1,Althea,Wildermuth
4,5,0,3,0,1,1,5,3,4,0,1,0,1,2,0,-1,,,Emylee,Neils
1,2,-1,2,0,3,3,6,0,1,1,1,0,1,2,0,0,-1,1,Allyce,Gert
1,0,-1,1,0,3,0,4,1,2,1,1,0,1,0,1,-1,,1,Alexine,Durante
1,2,2,-1,,3,2,5,3,4,0,1,1,0,1,0,-1,,,Kirstin,Delila
1,5,2,0,1,0,2,6,3,4,0,1,0,0,1,0,0,,0,Mariele,Vorster
4,5,-1,2,,2,0,1,3,1,0,0,1,1,2,0,0,,0,Shirlee,Loring
3,4,-1,-1,1,,2,3,3,4,1,1,0,0,1,1,0,,-1,Sheelagh,Quinn
3,6,0,2,1,3,1,4,0,1,1,1,0,1,0,1,1,0,,Eve,Dudley
0,4,0,0,1,3,0,3,2,3,0,0,0,0,2,1,0,,1,Cathie,Jehu
0,5,-1,3,0,1,3,0,0,0,1,0,1,1,2,1,0,0,-1,Edith,Monaco
2,4,2,3,1,2,0,-1,1,0,1,0,0,0,2,0,0,1,1,Andeee,Merat
0,4,0,0,1,-1,0,,3,3,0,0,0,1,0,1,-1,0,1,Agnese,Uund
2,6,0,-1,0,3,,1,0,4,1,1,0,1,0,1,0,-1,0,Claresta,Jillane
1,2,2,2,0,3,1,3,0,3,0,1,0,1,0,1,-1,0,0,Blondelle,Iphlgenia
2,0,-1,3,,1,,6,2,3,0,1,0,0,0,0,0,-1,-1,Fredericka,Eckblad
3,6,2,0,1,1,,,2,2,0,0,0,0,1,0,0,1,0,Raquela,Bethany
1,1,0,2,0,2,0,5,1,0,0,1,1,0,1,0,0,-1,0,Eve,Daegal
0,2,1,-1,1,-1,2,1,3,4,0,1,0,0,2,1,1,0,1,Letizia,Calhoun
1,6,-1,-1,1,2,-1,0,1,1,0,0,1,0,0,1,0,-1,0,Joelly,Jillane
